rainfall_1h,rainfall_24h,rainfall_72h,slope_angle,soil_moisture_proxy,historical_landslide_count,landslide_occurred
17.66,103.93,251.66,32.1,52.2,11,1
2.31,18.89,70.97,43.6,36.1,8,0
1.22,8.52,87.71,29.9,35.9,11,0
2.73,46.22,172.54,53.8,37.1,7,0
6.64,136.76,309.79,37.0,50.4,5,1
45.67,168.08,357.27,25.1,56.9,9,1
15.47,105.91,199.99,23.4,38.9,8,0
12.81,45.46,112.97,35.9,26.1,10,0
2.04,82.7,206.88,30.2,42.2,7,0
3.64,45.39,98.26,37.7,22.0,7,0
8.25,47.75,100.24,35.8,30.7,7,0
14.9,48.53,142.65,31.4,29.3,8,0
2.47,35.12,73.14,25.2,26.9,4,0
34.08,119.6,236.14,19.9,44.6,5,0
13.78,120.42,251.31,28.4,43.4,6,0
2.66,47.87,108.63,38.9,22.7,11,0
3.93,32.41,184.58,33.7,32.5,6,0
14.09,124.07,319.29,22.0,54.2,4,0
9.72,51.63,93.41,33.4,26.6,8,0
30.4,131.88,373.44,35.1,60.1,6,1
2.36,53.34,120.35,24.9,32.1,9,0
2.61,71.21,167.47,33.2,35.8,12,0
14.63,49.96,81.71,32.5,29.9,9,0
41.06,155.2,358.11,22.9,52.4,3,0
8.92,45.44,90.26,34.9,31.0,11,0
3.97,32.44,66.24,36.5,24.5,7,0
0.06,15.58,124.43,40.7,45.1,9,0
7.17,63.62,135.59,40.4,27.9,5,0
2.96,19.88,208.54,21.0,39.1,9,0
6.01,35.96,59.84,24.5,24.4,6,0
5.6,20.27,36.58,36.1,16.9,5,0
3.93,18.13,97.21,36.1,33.4,6,0
17.34,88.02,212.05,36.1,39.1,6,0
0.14,3.53,26.43,58.0,15.0,7,0
7.47,36.99,61.06,36.6,29.6,9,0
3.16,27.78,70.07,41.1,23.8,11,0
7.51,20.19,45.03,39.6,24.0,9,0
6.75,26.3,70.94,37.2,30.5,7,0
0.06,50.03,104.0,29.5,28.6,5,0
2.02,54.39,139.77,38.1,32.1,11,0
48.94,167.7,433.54,25.8,75.7,4,1
1.1,13.47,62.21,30.1,15.5,6,0
7.82,96.07,215.18,28.1,35.1,5,0
1.64,5.44,22.92,32.7,16.8,6,0
3.86,36.37,99.51,50.5,38.9,8,0
1.7,28.98,49.15,17.1,21.7,8,0
5.21,54.55,92.98,37.5,30.5,10,0
7.65,95.96,224.96,19.1,40.1,8,0
2.41,20.67,106.67,28.2,33.7,8,0
5.54,34.75,80.78,40.7,28.0,7,0
10.45,71.55,160.16,32.5,37.3,7,0
0.59,87.28,157.11,23.4,42.1,9,0
7.44,83.68,210.96,26.3,43.3,8,0
2.34,33.9,117.75,37.4,28.1,5,0
0.79,51.0,140.13,26.2,35.6,3,0
4.73,20.28,44.88,33.7,36.6,6,0
1.54,18.22,82.2,32.4,31.0,8,0
10.33,32.8,100.12,26.8,30.8,11,0
0.26,5.96,13.96,49.2,15.0,7,0
0.62,27.29,57.09,37.1,29.3,7,0
4.42,68.31,155.39,15.8,39.9,7,0
5.33,47.73,94.51,33.5,31.0,9,0
7.85,54.91,147.1,26.7,35.3,8,0
1.8,9.58,26.31,38.8,36.8,7,0
11.06,65.95,102.1,25.7,34.5,4,0
18.36,77.68,116.31,31.1,37.8,4,0
4.15,43.75,86.59,36.0,29.0,9,0
8.58,36.36,95.42,38.9,28.9,13,0
4.46,33.27,129.87,22.4,36.1,12,0
0.43,15.63,74.09,29.3,26.7,6,0
2.37,30.28,210.71,28.2,40.8,4,0
0.55,5.75,15.01,26.8,23.8,6,0
26.99,90.09,158.64,46.1,33.3,11,1
1.56,17.73,34.33,35.2,24.5,7,0
6.06,49.44,133.56,21.9,33.8,8,0
2.01,37.36,92.36,39.3,34.1,2,0
6.35,76.86,185.96,49.0,35.5,10,0
1.42,30.23,70.0,40.3,17.0,12,0
9.23,33.02,62.83,19.8,24.7,2,0
0.7,40.87,86.01,28.1,30.6,6,0
13.53,69.23,126.13,42.1,37.4,6,0
11.01,43.63,140.52,26.3,30.6,4,0
6.81,53.82,162.88,35.6,39.0,8,0
0.42,4.69,12.32,38.2,26.9,9,0
1.4,9.29,78.03,24.6,31.6,11,0
11.77,75.92,156.92,31.5,31.7,8,0
59.64,262.48,430.32,12.0,59.6,6,1
1.02,41.65,57.93,23.8,28.0,9,0
4.71,27.16,106.13,30.0,38.7,8,0
1.92,57.91,120.39,22.0,32.1,8,0
1.51,37.17,80.3,45.1,27.2,4,0
5.15,61.29,128.99,20.6,26.1,4,0
51.53,246.47,526.64,28.5,70.8,6,1
0.91,25.36,90.51,33.0,25.5,12,0
4.59,23.41,116.09,43.5,31.7,9,0
2.94,40.55,119.3,20.5,24.4,5,0
7.96,63.64,202.02,41.3,38.6,4,0
0.65,11.11,74.18,32.1,22.4,5,0
5.82,52.6,127.41,24.1,37.4,9,0
3.44,31.79,91.67,35.7,24.9,9,0
3.13,31.06,74.51,33.6,24.6,7,0
1.59,17.4,59.62,27.2,27.4,4,0
0.19,3.63,35.85,32.6,21.3,7,0
11.29,53.91,126.69,28.9,44.5,7,0
2.37,45.16,83.19,32.9,33.0,12,0
6.86,37.46,98.57,37.3,29.9,10,0
17.69,44.38,102.74,44.7,32.1,5,0
64.46,350.0,589.51,22.1,67.2,5,1
3.04,16.01,59.79,49.1,32.1,7,0
1.87,33.21,95.31,16.4,32.1,6,0
16.31,130.45,204.87,30.8,40.1,7,0
6.88,43.2,90.15,36.7,31.8,4,0
6.57,59.22,156.83,34.2,39.1,11,0
3.33,106.65,214.64,27.0,39.4,2,0
11.19,88.85,178.99,30.3,39.8,9,0
7.5,42.67,66.33,28.1,31.9,2,0
2.0,18.23,90.51,27.3,31.3,9,0
5.49,35.24,68.46,38.8,25.6,7,0
3.37,59.21,111.51,34.9,32.6,4,0
0.04,48.09,172.18,26.5,44.1,6,0
50.09,230.77,498.5,39.2,73.8,4,1
0.79,25.65,97.76,34.5,24.0,6,0
4.28,33.28,77.62,38.5,30.7,5,0
2.46,19.85,39.66,37.0,26.2,4,0
2.51,8.58,50.62,25.4,30.9,9,0
3.89,48.55,89.95,27.5,29.2,7,0
34.9,102.5,244.54,38.0,42.6,4,1
3.15,19.99,42.93,36.9,17.5,7,0
1.21,49.55,96.5,31.8,26.2,6,0
5.71,24.77,79.99,32.9,34.0,14,0
1.62,72.3,212.35,42.2,42.2,8,0
0.67,2.27,15.43,27.3,21.0,3,0
0.31,70.92,225.01,36.4,49.0,7,0
0.14,15.54,58.3,30.4,31.3,9,0
3.38,16.92,94.78,30.3,25.8,10,0
3.34,42.24,81.14,40.8,34.1,9,0
1.23,60.28,157.32,38.6,27.4,8,0
9.2,48.83,91.65,38.5,31.5,10,0
57.26,202.15,367.33,42.4,58.4,7,1
14.81,140.72,234.66,32.2,49.2,6,1
5.31,20.39,52.43,37.5,27.1,3,0
0.17,43.55,85.19,29.5,27.3,6,0
19.78,64.12,139.14,34.6,33.1,6,0
2.21,19.47,42.85,31.0,37.8,5,0
35.76,105.19,184.23,32.8,38.8,9,0
2.01,21.04,38.78,36.8,26.9,8,0
7.82,30.15,61.32,25.5,16.0,10,0
3.99,20.63,74.17,48.7,23.3,7,0
29.98,142.9,245.49,24.0,47.1,11,0
50.25,179.62,381.14,22.3,50.0,7,0
45.75,170.05,290.92,41.3,51.8,10,1
1.62,26.68,79.51,38.3,24.3,5,0
0.89,11.34,44.4,37.0,19.3,10,0
4.15,84.62,141.87,37.0,30.5,4,0
9.74,42.53,102.65,31.9,37.9,9,0
1.96,14.39,41.91,24.8,25.9,5,0
1.94,27.74,100.28,32.6,25.5,7,0
10.77,80.33,111.74,26.6,35.1,11,0
0.96,2.91,75.3,39.8,31.7,4,0
41.87,150.92,306.04,30.8,48.7,8,0
18.61,98.62,247.37,25.4,49.5,4,0
11.04,61.22,145.25,29.4,39.6,4,0
0.38,14.83,35.08,35.3,27.8,9,0
2.31,76.36,178.13,27.5,34.4,7,0
0.92,4.71,58.37,25.4,19.9,4,0
17.88,79.94,169.64,33.9,28.5,7,0
25.59,75.9,181.27,34.0,34.8,9,0
1.61,5.98,10.12,27.9,19.2,5,0
6.65,23.69,141.99,28.2,32.8,5,0
11.06,58.47,185.22,33.9,38.3,5,0
1.6,5.68,29.04,20.4,31.6,8,0
1.25,26.54,101.7,20.7,28.5,6,0
0.07,78.8,170.22,26.3,36.8,8,0
3.19,52.51,161.15,30.3,27.0,8,0
13.78,48.95,123.02,34.5,43.4,8,0
62.49,179.66,312.03,43.8,44.6,7,1
0.82,18.72,36.71,38.9,20.1,6,0
1.37,17.48,145.78,30.7,38.1,10,0
3.15,97.99,276.51,31.8,48.9,10,0
9.1,153.07,378.19,24.0,66.0,10,1
5.68,31.15,69.13,31.9,30.5,5,0
4.33,18.02,48.07,29.7,24.4,9,0
5.38,78.34,195.77,34.6,44.8,4,0
0.61,41.35,128.35,25.4,38.6,10,0
40.57,164.55,395.2,36.2,56.2,5,1
29.02,106.47,195.53,44.3,44.4,11,1
0.56,16.54,65.71,31.1,25.5,11,0
4.39,76.97,171.37,35.2,36.6,5,0
2.1,11.66,31.58,37.5,23.9,5,0
4.66,59.25,116.83,28.8,29.8,9,0
5.12,16.81,30.79,33.8,20.9,8,0
5.17,80.74,154.76,32.1,40.4,6,0
11.47,51.44,142.15,32.8,26.6,1,0
2.96,18.3,97.82,25.8,24.5,7,0
4.36,17.39,69.77,32.2,30.4,9,0
0.07,20.67,54.29,36.0,25.1,6,0
9.35,31.51,82.43,43.6,33.2,12,0
1.8,32.77,130.55,39.7,34.8,6,0
10.18,51.78,129.58,49.2,26.3,7,0
1.85,8.81,31.26,25.9,23.4,3,0
0.07,17.81,117.94,39.0,34.5,11,0
1.01,24.94,112.49,33.5,32.4,6,0
25.48,85.81,187.78,49.5,36.4,9,0
2.31,24.12,116.27,25.5,30.3,4,0
0.69,24.65,71.67,25.3,24.4,7,0
0.76,21.71,111.27,27.2,24.5,8,0
2.23,9.26,45.48,15.0,17.2,7,0
45.27,172.33,323.07,27.8,54.3,7,1
4.3,19.35,75.26,25.9,23.2,8,0
1.44,35.58,95.49,33.2,32.4,8,0
4.4,35.74,68.17,34.7,23.8,4,0
0.91,17.92,154.41,47.0,28.9,6,0
3.37,54.44,104.02,39.6,28.4,5,0
5.47,27.98,140.27,27.4,44.5,6,0
0.38,22.06,53.52,24.8,24.9,7,0
3.05,13.41,39.22,35.9,27.2,5,0
2.16,43.29,89.62,21.4,29.8,9,0
1.65,34.07,118.07,46.7,24.8,5,0
5.57,60.66,93.82,41.4,36.6,4,0
5.33,68.5,241.13,28.2,42.9,10,0
5.98,50.74,145.62,18.3,28.0,5,0
1.04,50.53,137.82,42.8,31.2,6,0
2.02,18.4,40.52,31.1,23.0,7,0
1.41,15.74,44.07,41.9,28.2,8,0
4.67,91.88,253.08,19.2,41.9,6,0
3.71,71.38,118.92,27.2,45.0,1,0
2.41,26.4,57.39,32.0,21.1,5,0
9.25,50.54,99.28,32.4,33.0,9,0
36.07,176.74,395.88,28.4,49.7,5,1
22.11,77.11,180.42,37.0,37.4,10,0
0.74,7.13,33.3,23.5,25.2,6,0
8.9,63.67,160.95,30.9,30.5,9,0
2.76,11.78,116.56,33.0,39.2,8,0
12.03,61.03,112.52,36.1,33.4,6,0
0.46,42.63,87.71,37.7,27.2,9,0
55.25,178.78,378.17,23.0,59.9,5,1
2.45,77.32,165.48,19.7,33.6,7,0
29.91,189.54,417.79,42.2,68.0,3,1
25.42,117.76,248.12,34.7,49.9,4,1
1.26,114.32,191.57,26.0,41.0,10,0
5.96,42.01,96.76,44.4,32.7,8,0
4.6,34.57,88.46,32.9,21.5,7,0
1.01,49.06,202.1,41.4,47.5,8,0
1.1,19.82,48.18,32.5,24.3,10,0
27.2,97.57,188.76,48.5,44.0,10,1
3.62,37.76,81.76,46.0,31.9,8,0
0.81,29.06,65.91,30.0,31.6,9,0
1.45,39.02,117.5,39.8,26.5,10,0
37.81,188.58,384.9,37.2,53.9,7,1
4.29,50.75,135.27,42.9,44.8,7,0
2.45,36.64,144.94,24.3,26.9,10,0
3.64,27.01,108.31,37.5,25.3,7,0
44.82,146.27,203.63,40.5,40.6,7,1
2.37,47.14,88.19,17.9,29.0,6,0
0.44,2.01,42.86,22.5,21.6,10,0
13.23,168.14,351.89,15.7,58.3,4,0
1.33,48.48,89.83,29.8,33.5,1,0
8.49,57.09,128.96,37.7,32.8,5,0
2.58,91.98,201.49,44.0,38.8,6,1
3.86,34.17,53.79,32.6,25.3,5,0
2.07,10.6,61.16,45.0,23.6,8,0
7.15,52.38,113.94,21.0,22.9,5,0
11.17,45.56,94.11,18.4,30.9,6,0
2.02,19.78,64.1,31.6,30.2,7,0
1.66,21.73,80.39,35.1,27.3,4,0
6.86,56.01,100.24,31.7,18.7,7,0
1.3,21.51,96.8,15.5,26.8,8,0
6.13,35.26,64.19,31.3,30.9,6,0
0.6,11.18,44.77,21.6,17.3,9,0
5.81,40.66,82.16,37.4,31.7,11,0
4.32,25.93,101.53,34.9,27.9,8,0
0.73,10.52,79.43,24.5,27.8,5,0
6.28,61.87,102.74,27.9,26.8,6,0
3.55,25.69,51.56,23.5,19.5,5,0
1.47,7.34,93.59,31.5,36.5,6,0
2.62,18.81,44.05,39.6,28.5,6,0
4.06,37.35,97.58,24.1,33.0,9,0
0.58,44.15,81.88,36.0,32.7,4,0
18.96,155.28,439.2,27.8,66.4,6,1
6.57,55.79,184.73,25.7,43.2,6,0
0.65,16.73,28.12,31.1,19.5,6,0
10.38,54.8,136.56,23.7,40.5,7,0
2.34,11.97,97.59,27.6,36.2,9,0
5.45,43.3,95.15,22.4,31.4,10,0
1.95,25.98,73.34,47.7,25.9,6,0
7.93,48.52,111.74,32.3,25.1,8,0
7.7,28.01,45.77,26.4,25.7,8,0
30.63,138.15,307.3,33.7,59.2,6,1
1.65,15.19,50.23,31.1,19.2,9,0
54.47,221.44,319.06,30.2,57.0,6,1
2.9,17.08,38.63,36.9,21.5,9,0
0.94,26.45,111.68,38.1,29.2,5,0
2.47,10.63,75.17,27.8,21.6,5,0
6.92,46.01,101.83,27.4,26.4,5,0
10.66,32.24,131.41,29.8,36.4,11,0
2.43,12.28,22.59,13.6,26.1,7,0
1.6,9.91,70.54,19.9,28.2,5,0
10.73,41.39,89.63,42.9,26.5,2,0
13.28,48.35,77.93,45.2,22.3,5,0
3.17,54.73,94.05,30.0,29.7,6,0
0.16,6.83,25.15,36.6,20.7,7,0
7.12,32.81,114.89,34.5,32.5,8,0
9.2,47.96,118.49,56.6,30.2,6,0
0.11,29.48,75.51,41.0,26.1,8,0
5.42,25.98,43.34,31.0,25.1,12,0
5.33,44.96,174.56,24.4,39.2,3,0
2.86,47.92,98.3,19.1,36.0,7,0
8.31,37.91,97.52,33.6,28.1,4,0
3.35,33.61,110.4,25.9,33.8,10,0
6.78,21.8,49.69,20.6,34.0,11,0
4.37,16.57,66.03,26.8,29.5,6,0
48.43,316.48,438.64,23.3,69.7,7,1
37.32,153.8,244.63,45.5,41.4,12,1
8.01,40.06,132.11,39.1,29.6,2,0
21.88,146.62,325.43,31.9,51.7,6,1
2.87,39.87,81.48,43.8,27.9,8,0
0.4,23.03,43.4,32.6,29.7,8,0
26.52,148.96,279.24,25.1,44.3,0,0
5.87,57.1,101.78,44.2,29.7,6,0
17.56,91.68,202.25,36.3,45.6,7,1
33.2,104.05,187.71,23.7,39.8,6,0
2.51,20.32,94.35,30.5,29.4,7,0
0.86,11.47,54.12,25.0,26.6,8,0
10.83,36.92,85.81,20.9,22.9,3,0
12.74,64.21,207.85,39.4,35.1,7,0
4.17,41.61,66.46,47.3,18.7,7,0
1.24,9.86,29.84,20.8,24.0,3,0
0.82,12.19,25.81,36.5,27.2,4,0
5.32,46.94,90.27,26.8,32.9,4,0
4.24,38.49,230.88,28.1,48.8,4,0
7.12,75.35,135.06,27.3,40.8,3,0
2.18,46.09,146.34,25.1,35.4,12,0
3.09,93.72,196.14,32.4,39.3,4,1
0.13,23.23,32.46,25.4,30.6,9,0
39.84,206.01,479.55,34.2,64.4,6,1
3.3,61.33,226.88,31.6,36.8,8,0
15.14,111.28,243.97,30.1,42.7,3,0
6.16,47.28,111.21,24.7,28.8,6,0
3.05,29.82,47.74,27.4,25.0,9,0
1.84,15.7,40.73,38.0,19.8,6,0
14.14,105.63,244.91,36.0,46.3,7,1
0.1,37.91,67.24,24.2,23.9,9,0
2.38,54.23,145.17,32.8,40.7,8,0
17.24,55.19,174.49,38.0,31.5,1,0
6.37,28.12,49.11,18.6,24.2,6,0
4.56,30.32,68.96,36.3,25.2,9,0
1.37,51.45,204.27,26.7,41.6,6,0
10.75,84.28,153.79,36.6,40.0,7,0
1.37,13.47,39.91,25.9,25.3,5,0
1.71,35.91,61.01,17.6,25.5,7,0
1.28,5.52,22.05,19.0,25.7,4,0
1.03,16.0,38.3,32.4,28.0,7,0
18.39,76.1,153.59,34.1,36.7,8,0
5.53,53.12,80.52,24.8,30.0,10,0
6.09,73.29,181.15,37.1,41.3,7,0
18.52,63.94,138.43,18.7,25.6,7,0
1.57,23.1,31.69,31.5,21.4,12,0
0.04,26.2,107.6,22.3,32.6,8,0
5.48,31.21,79.5,26.8,26.5,5,0
4.25,122.52,231.4,32.4,41.7,6,1
3.9,66.03,204.12,25.1,42.3,4,0
0.38,10.48,24.43,28.9,24.4,8,0
3.64,33.22,59.68,40.1,28.3,5,0
2.03,15.54,104.23,27.4,26.5,9,0
1.93,24.38,42.64,38.7,17.2,6,0
1.51,35.17,136.9,23.0,37.7,8,0
2.43,12.0,77.62,36.2,24.0,9,0
47.79,203.0,334.71,43.5,49.4,5,1
2.22,28.53,51.59,12.2,20.7,10,0
23.11,203.48,332.7,25.6,59.0,6,1
60.39,168.09,274.5,36.6,48.5,9,1
5.13,60.35,170.38,30.4,38.8,9,0
23.8,122.56,237.05,35.0,47.2,8,1
28.4,113.17,193.51,27.2,39.1,7,0
2.64,21.7,60.51,32.7,31.1,6,0
3.53,67.06,96.12,30.8,23.6,8,0
19.17,91.95,141.41,41.3,28.7,1,0
5.63,30.39,46.81,34.0,19.0,4,0
1.44,64.54,159.22,34.7,38.0,8,0
7.02,26.13,39.28,28.7,26.5,5,0
1.38,21.84,56.89,28.1,23.3,6,0
2.49,34.59,58.4,28.5,24.7,4,0
1.55,28.77,79.47,35.2,34.3,8,0
1.69,13.35,40.91,28.6,20.6,5,0
0.03,20.83,37.07,34.3,25.2,7,0
12.76,87.05,139.65,48.6,30.5,6,0
2.11,28.62,67.25,39.0,32.2,9,0
0.54,30.71,55.77,29.4,28.7,8,0
0.55,9.53,66.8,41.6,19.7,3,0
4.87,65.63,104.19,28.7,29.1,6,0
29.7,118.52,237.46,15.7,33.4,6,0
0.94,111.56,264.37,23.9,50.9,7,0
0.63,2.63,74.84,17.0,37.7,5,0
3.46,24.42,80.31,29.2,17.1,8,0
39.56,136.9,290.71,32.1,41.9,3,1
2.09,26.29,114.38,45.4,32.3,5,0
2.16,12.53,79.51,34.6,27.9,9,0
3.31,46.28,189.09,30.2,36.9,7,0
2.26,63.55,94.7,38.6,20.8,12,0
14.81,70.19,131.05,14.3,34.7,7,0
0.26,5.37,31.21,33.9,27.6,6,0
1.6,58.77,132.63,38.2,47.5,6,0
